27	69	Co	-50279.157	140.506
28	69	Ni	-59978.648	3.726
29	69	Cu	-65736.213	1.397
30	69	Zn	-68417.845	0.8
31	69	Ga	-69327.809	1.197
32	69	Ge	-67100.663	1.318
33	69	As	-63112.171	31.999
34	69	Se	-56434.706	1.49
35	69	Br	-46259.47	42.003
36	69	Kr	-32435#	401#
24	70	Cr	-4480#	600#
25	70	Mn	-19500#	500#
26	70	Fe	-36510#	400#
27	70	Co	-46630#	300#
28	70	Ni	-59213.86	2.144
29	70	Cu	-62976.373	1.082
30	70	Zn	-69564.735	1.918
31	70	Ga	-68910.14	1.201
32	70	Ge	-70561.876	0.838
33	70	As	-64341.876	50.007
34	70	Se	-61929.891	1.584
35	70	Br	-51425.619	14.904
36	70	Kr	-41100#	200#
25	71	Mn	-15570#	500#
26	71	Fe	-31430#	400#
27	71	Co	-44369.926	465.03
28	71	Ni	-55406.228	2.237
29	71	Cu	-62711.127	1.49
30	71	Zn	-67328.777	2.654
31	71	Ga	-70139.135	0.812
32	71	Ge	-69906.497	0.834
33	71	As	-67893.097	4.167
34	71	Se	-63146.507	2.794
35	71	Br	-56502.418	5.402
36	71	Kr	-46327.205	128.769
37	71	Rb	-32060#	400#
25	72	Mn	-9900#	600#
26	72	Fe	-28430#	500#
27	72	Co	-40200#	400#
28	72	Ni	-54226.06	2.237
29	72	Cu	-59782.999	1.397
30	72	Zn	-68145.486	2.142
31	72	Ga	-68588.293	0.819
32	72	Ge	-72585.9	0.076
33	72	As	-68229.798	4.083
34	72	Se	-67868.18	1.956
35	72	Br	-59061.743	1.025
36	72	Kr	-53940.575	8.011
37	72	Rb	-38330#	500#
26	73	Fe	-22900#	500#
27	73	Co	-37418#	400#
28	73	Ni	-50108.152	2.423
29	73	Cu	-58987.437	1.942
30	73	Zn	-65593.402	1.863
31	73	Ga	-69699.335	1.677
32	73	Ge	-71297.523	0.057
33	73	As	-70952.747	3.853
34	73	Se	-68227.387	7.424
35	73	Br	-63647.475	7.266
36	73	Kr	-56551.751	6.578
37	73	Rb	-46082#	200#
38	73	Sr	-31950#	401#
26	74	Fe	-19590#	600#
27	74	Co	-32820#	500#
28	74	Ni	-48456#	196#
29	74	Cu	-56006.205	6.148
30	74	Zn	-65756.712	2.515
31	74	Ga	-68049.617	2.994
32	74	Ge	-73422.442	0.013
33	74	As	-70860.054	1.693
34	74	Se	-72213.201	0.015
35	74	Br	-65288.153	5.835
36	74	Kr	-62331.836	2.013
37	74	Rb	-51916.009	3.027
38	74	Sr	-40827#	100#
26	75	Fe	-13640#	600#
27	75	Co	-29649#	500#
28	75	Ni	-44030#	300#
29	75	Cu	-54471.341	2.33
30	75	Zn	-62558.908	1.956
31	75	Ga	-68464.58	2.422
32	75	Ge	-71856.965	0.052
33	75	As	-73034.195	0.884
34	75	Se	-72169.481	0.073
35	75	Br	-69107.009	4.285
36	75	Kr	-64323.624	8.104
37	75	Rb	-57218.694	1.18
38	75	Sr	-46618.694	220.003
39	75	Y	-31820#	300#
27	76	Co	-24510#	600#
28	76	Ni	-41630#	400#
29	76	Cu	-50975.985	6.707
30	76	Zn	-62303.016	1.456
31	76	Ga	-66296.64	1.956
32	76	Ge	-73212.889	0.018
33	76	As	-72291.377	0.886
34	76	Se	-75251.95	0.016
35	76	Br	-70289.068	9.322
36	76	Kr	-69013.714	4.013
37	76	Rb	-60479.081	0.938
38	76	Sr	-54247.639	34.465
39	76	Y	-38480#	300#
27	77	Co	-21015#	600#
28	77	Ni	-36800#	500#
29	77	Cu	-48624#	149#
30	77	Zn	-58789.195	1.973
31	77	Ga	-65992.344	2.422
32	77	Ge	-71212.862	0.053
33	77	As	-73916.318	1.693
34	77	Se	-74599.488	0.062
35	77	Br	-73234.809	2.811
36	77	Kr	-70169.443	1.956
37	77	Rb	-64830.492	1.304
38	77	Sr	-57803.436	7.918
39	77	Y	-46439#	203#
40	77	Zr	-32040#	400#
28	78	Ni	-33890#	600#
29	78	Cu	-44497.469	503.007
